,u,v,key,osmid,bridge,oneway,length,geometry,service
698,2274884573,2274884782,0,218215444,yes,False,141.5,"LINESTRING (103.9027954 1.405906, 103.9034045 1.4070234)",
699,2274872287,411686466,0,218215448,yes,False,49.505,"LINESTRING (103.915698 1.3939153, 103.9154338 1.3935569)",
700,2274872287,2274872498,0,218215448,yes,False,68.341,"LINESTRING (103.915698 1.3939153, 103.9160716 1.3944034)",
701,2274872290,2274872534,0,218215447,yes,False,70.575,"LINESTRING (103.9156439 1.3939191, 103.9159801 1.3944575)",
702,2274872290,2274872186,0,218215447,yes,False,45.712,"LINESTRING (103.9156439 1.3939191, 103.9154029 1.393586)",
703,411686901,411686567,0,218215448,yes,False,24.58,"LINESTRING (103.9148481 1.3929112, 103.9146511 1.3928108)",
704,411686901,2274871799,0,218215448,yes,False,13.621,"LINESTRING (103.9148481 1.3929112, 103.914951 1.3929777)",
705,2274884600,2274884681,0,218215445,yes,False,44.54,"LINESTRING (103.9027672 1.4060174, 103.9029617 1.4063676)",
706,2274884600,411102765,0,218215445,yes,False,56.158,"LINESTRING (103.9027672 1.4060174, 103.9024307 1.4056407)",
707,6532027385,6532012984,0,173144832,yes,False,29.906,"LINESTRING (103.9039384 1.4080811, 103.9040294 1.4083342)",
708,6532027385,411102764,0,173144832,yes,False,93.952,"LINESTRING (103.9039384 1.4080811, 103.903494 1.4073624)",
709,2274884602,2274884731,0,173144836,yes,False,61.726,"LINESTRING (103.8973899 1.4060223, 103.8975939 1.4065386)",
710,2274884602,2274884379,0,173144836,yes,False,51.782,"LINESTRING (103.8973899 1.4060223, 103.8972466 1.4055792)",
711,6532027387,6532027386,0,695617198,yes,False,218.51,"LINESTRING (103.9029971 1.4063609, 103.9039573 1.4080756)",yard
712,6532027387,6532027388,0,695617198,yes,False,71.39,"LINESTRING (103.9029971 1.4063609, 103.9026886 1.4057978)",yard
713,6532027388,6532027387,0,695617198,yes,False,71.39,"LINESTRING (103.9026886 1.4057978, 103.9029971 1.4063609)",yard
714,2274884607,2274884762,0,218215447,yes,False,151.362,"LINESTRING (103.9074971 1.406034, 103.9063761 1.4068067)",
715,2274884607,2274884353,0,218215447,yes,False,89.608,"LINESTRING (103.9074971 1.406034, 103.9081329 1.4055386)",
